subj,Wear stage,subj,Wear stage
X.NA_1160LR,3,X.NA_1160LR,3
X.NA_1161L,5,X.NA_1161L,5
X.NA_7174LR,5,X.NA_7174LR,5
X.NA_7189L,3,X.NA_7189L,3
X.NA_7321LR,3,X.NA_7321LR,3
X.NA_7323LR,4,X.NA_7323LR,4
X.NA_7325LR,3,X.NA_7325LR,3
X.NA_7326L,3,X.NA_7326L,3
X.NA_7479LR,4,X.NA_7479LR,4
X.NA_7558LR,3,X.NA_7558LR,3
X.NA_10463LR,4,X.NA_10463LR,4
X.NA_10464LR,3,X.NA_10464LR,3
X.NA_10465LR,4,X.NA_10465LR,4
X.NA_10466LR,3,X.NA_10466LR,3
X.NA_10467LR,4,X.NA_10467LR,4
X.NA_10471LR,3,X.NA_10471LR,3
X.NA_10477LR,3,X.NA_10477LR,3
X.NA_10479LR,4,X.NA_10479LR,4
X.NA_10481LR,3,X.NA_10481LR,3
X.NA_10482LR,3,X.NA_10482LR,3
X.NA_10483LR,3,X.NA_10483LR,3
X.NA_10486LR,4,X.NA_10486LR,4
X.NA_10487LR,3,X.NA_10487LR,3
X.NA_161983L,3,X.NA_161983L,3
X.NA_234515L,4,X.NA_234515L,4
X.NA_234517L,3,X.NA_234517L,3
X.NA_234520L,3,X.NA_234520L,3
X.NA_234521L,3,X.NA_234521L,3
X.NA_27864L,3,X.NA_27864L,3
X.NA_39621LR,3,X.NA_39621LR,3
X.NA_62601L,3,X.NA_62601L,3
X.NA_7559LR,4,X.NA_7559LR,4
X.NA_7577LR,4,X.NA_7577LR,4
X.NA_7578LR,4,X.NA_7578LR,4
X.NA_7579L,3,X.NA_7579L,3
X.NA_84637L,3,X.NA_84637L,3
X.NA_84638L,3,X.NA_84638L,3
X.NA_84639LR,4,X.NA_84639LR,4
X.NA_84803L,3,X.NA_84803L,3
X.NA_95009L,4,X.NA_95009L,4
X.NC_13370LR,3,X.NC_13370LR,3
X.NC_13381LR,3,X.NC_13381LR,3
X.NC_15539LR,3,X.NC_15539LR,3
X.NC_15546L,3,X.NC_15546L,3
X.NC_15551LR,4,X.NC_15551LR,4
X.NC_22330LR,4,X.NC_22330LR,4
X.NC_22332L,3,X.NC_22332L,3
X.NC_23103LR,2,X.NC_23103LR,2
X.NC_23109L,4,X.NC_23109L,4
X.NC_23111L,3,X.NC_23111L,3
X.NC_121991L,3,X.NC_121991L,3
X.NC_121993L,2,X.NC_121993L,2
X.NC_128770L,3,X.NC_128770L,3
X.NC_132508L,4,X.NC_132508L,4
X.NC_132509L,5,X.NC_132509L,5
X.NC_132714L,3,X.NC_132714L,3
X.NC_132715L,3,X.NC_132715L,3
X.NC_218378L,5,X.NC_218378L,5
X.NC_220747L,3,X.NC_220747L,3
X.NC_220748L,3,X.NC_220748L,3
X.NC_222826L,1,X.NC_222826L,1
X.NC_224334L,3,X.NC_224334L,3
X.NC_224650L,3,X.NC_224650L,3
X.NC_23112L,3,X.NC_23112L,3
X.NC_232199L,2,X.NC_232199L,2
X.NC_24997L,3,X.NC_24997L,3
X.NC_33719LR,3,X.NC_33719LR,2
X.NC_34865L,3,X.NC_34865L,3
X.NC_35207L,3,X.NC_35207L,3
X.NC_57071L,3,X.NC_57071L,3
X.NC_57072L,3,X.NC_57072L,3
X.NC_59068L,3,X.NC_59068L,3
X.NC_59072L,3,X.NC_59072L,2
X.NC_59073L,3,X.NC_59073L,3
X.NC_64967L,3,X.NC_64967L,3
X.NC_65425L,3,X.NC_65425L,3
X.NC_65495L,3,X.NC_65495L,3
X.NC_69443L,3,X.NC_69443L,3
X.NC_69446L,3,X.NC_69446L,3
X.NF_195212L,3,X.NF_195212L,2
X.NF_195213LR,3,X.NF_195213LR,2
X.NF_195986L,3,X.NF_195986L,3
X.NF_196356L,3,X.NF_196356L,3
X.NF_196360L,3,X.NF_196360L,3
X.NF_196363L,3,X.NF_196363L,3
X.NF_196371L,3,X.NF_196371L,3
X.NF_196382L,5,X.NF_196382L,5
X.NF_196388L,3,X.NF_196388L,3
X.NF_196391L,4,X.NF_196391L,4
X.NF_196392LR,3,X.NF_196392LR,3
X.NF_196400L,5,X.NF_196400L,5
X.NF_196404L,3,X.NF_196404L,3
X.NF_196415L,2,X.NF_196415L,2
X.NF_196416L,3,X.NF_196416L,3
X.NF_196417LR,3,X.NF_196417LR,3
X.NF_196564L,3,X.NF_196564L,3
X.NF_196565L,3,X.NF_196565L,3
X.NF_196566L,3,X.NF_196566L,3
X.NF_197373L,3,X.NF_197373L,3
X.NF_206894L,3,X.NF_206894L,3
X.NF_216804L,3,X.NF_216804L,3
X.NF_217863L,3,X.NF_217863L,3
X.NF_218015L,3,X.NF_218015L,3
X.NF_218708LR,4,X.NF_218708LR,4
X.NF_219021L,3,X.NF_219021L,3
X.NF_219027L,4,X.NF_219027L,4
X.NF_219537L,3,X.NF_219537L,3
X.NF_219572L,3,X.NF_219572L,3
X.NF_219598L,3,X.NF_219598L,3
X.NF_220636L,3,X.NF_220636L,3
X.NF_221488L,5,X.NF_221488L,5
X.NF_221493L,3,X.NF_221493L,3
X.NF_221496L,2,X.NF_221496L,2
X.NF_221614L,3,X.NF_221614L,3
X.NF_221625L,3,X.NF_221625L,3
X.NF_223078L,4,X.NF_223078L,4
X.NF_225109L,2,X.NF_225109L,2
X.NF_225235L,3,X.NF_225235L,3
X.NF_230700L,3,X.NF_230700L,3
X.NL_15510LR,4,X.NL_15510LR,4
X.NL_16789LR,3,X.NL_16789LR,3
X.NL_26336L,3,X.NL_26336L,3
X.NL_26337LR,3,X.NL_26337LR,3
X.NL_5370L,4,X.NL_5370L,4
X.NL_5371LR,3,X.NL_5371LR,3
X.NL_5383L,4,X.NL_5383L,4
X.NL_5384L,3,X.NL_5384L,3
X.NL_6182LR,3,X.NL_6182LR,2
X.NL_6968L,3,X.NL_6968L,3
X.NL_114334L,3,X.NL_114334L,3
X.NL_149261L,4,X.NL_149261L,4
X.NL_149264LR,4,X.NL_149264LR,4
X.NL_195260L,4,X.NL_195260L,4
X.NL_195262L,3,X.NL_195262L,3
X.NL_195320L,3,X.NL_195320L,3
X.NL_195928L,3,X.NL_195928L,3
X.NL_196355L,3,X.NL_196355L,3
X.NL_197160L,3,X.NL_197160L,3
X.NL_197164L,3,X.NL_197164L,3
X.NL_198672L,5,X.NL_198672L,5
X.NL_199789L,3,X.NL_199789L,3
X.NL_199799L,4,X.NL_199799L,4
X.NL_202450L,3,X.NL_202450L,3
X.NL_215634L,4,X.NL_215634L,4
X.NL_215704L,2,X.NL_215704L,2
X.NL_215714L,3,X.NL_215714L,3
X.NL_219371L,3,X.NL_219371L,3
X.NL_220815L,3,X.NL_220815L,3
X.NL_220820L,4,X.NL_220820L,4
X.NL_223713L,3,X.NL_223713L,3
X.NL_223717L,4,X.NL_223717L,4
X.NL_42463L,3,X.NL_42463L,2
X.NL_60231L,3,X.NL_60231L,3
X.NL_77609L,4,X.NL_77609L,4
X.NL_79371L,3,X.NL_79371L,3
X.NL_79372L,2,X.NL_79372L,2
X.NL_80245L,3,X.NL_80245L,3
X.NL_86546L,4,X.NL_86546L,4
X.NL_95024L,3,X.NL_95024L,3
X.NM_14052LR,4,X.NM_14052LR,4
X.NM_16760LR,3,X.NM_16760LR,3
X.NM_17966LR,3,X.NM_17966LR,3
X.NM_2352LR,3,X.NM_2352LR,3
X.NM_3925LR,3,X.NM_3925LR,3
X.NM_3926L,2,X.NM_3926L,2
X.NM_5340LR,3,X.NM_5340LR,2
X.NM_5544L,3,X.NM_5544L,3
X.NM_5548LR,4,X.NM_5548LR,4
X.NM_7573LR,3,X.NM_7573LR,3
X.NM_107648LR,4,X.NM_107648LR,4
X.NM_108716L,3,X.NM_108716L,3
X.NM_108722L,2,X.NM_108722L,2
X.NM_108748L,3,X.NM_108748L,3
X.NM_114487L,3,X.NM_114487L,3
X.NM_116723L,3,X.NM_116723L,3
X.NM_125883L,3,X.NM_125883L,3
X.NM_125890L,3,X.NM_125890L,3
X.NM_176217L,3,X.NM_176217L,3
X.NM_17971LR,3,X.NM_17971LR,3
X.NM_196422L,4,X.NM_196422L,4
X.NM_196504L,5,X.NM_196504L,5
X.NM_196533L,3,X.NM_196533L,3
X.NM_196535L,4,X.NM_196535L,4
X.NM_196538L,4,X.NM_196538L,4
X.NM_196540L,4,X.NM_196540L,4
X.NM_196542L,3,X.NM_196542L,3
X.NM_196556L,5,X.NM_196556L,5
X.NM_196593L,4,X.NM_196593L,4
X.NM_196594L,4,X.NM_196594L,4
X.NM_196780L,4,X.NM_196780L,4
X.NM_198325L,3,X.NM_198325L,3
X.NM_2011919L,4,X.NM_2011919L,4
X.NM_207663L,4,X.NM_207663L,4
X.NM_207681L,4,X.NM_207681L,4
X.NM_222721L,4,X.NM_222721L,4
X.NM_231876L,3,X.NM_231876L,3
X.NM_24678L,3,X.NM_24678L,3
X.NM_24990L,3,X.NM_24990L,3
X.NM_84558L,3,X.NM_84558L,3
